ResidentGroup,ID,Sex,AgeMonths,stage,pregCat,mass,group.size.sub,immig
1,148,M,9,S,NA,6.373769378,3,0
1,196,F,25,H,np,6.608466014,3,0
1,197,F,25,H,np,6.651260471,3,0
2,1735,F,30,H,np,6.630215513,2,0
2,2049,M,23,H,np,6.566292216,2,0
3,1492,F,45,H,1,6.68831111,6,0
3,1494,F,32,H,np,6.52936349,6,0
3,1498,F,30,H,np,6.451033967,6,0
3,1500,F,29,H,np,6.514425207,6,0
3,983,M,53,D,np,6.698558226,6,0
3,996,M,23,H,np,6.604121915,6,0
4,1510,F,18,H,np,6.365965238,2,0
4,1561,M,18,H,np,6.391527807,2,0
5,596,M,38,D,np,6.610619675,4,0
5,597,M,33,H,np,6.608080611,4,0
5,919,F,24,D,2,6.759336514,4,0
5,926,F,13,H,np,6.578561729,4,0
6,1375,M,62,D,np,6.668533149,18,1
6,530,F,58,D,birth,6.503527644,18,0
6,531,F,50,H,np,6.546348295,18,0
6,535,F,28,H,np,6.51359551,18,0
6,536,F,28,H,np,6.533729511,18,0
6,537,F,23,H,np,6.407150279,18,0
6,538,F,12,S,NA,6.475393288,18,0
6,539,F,12,S,NA,6.465711435,18,0
6,540,F,12,S,NA,6.439528884,18,0
6,541,F,12,S,NA,6.389230152,18,0
6,542,F,12,S,NA,6.389290287,18,0
6,543,F,5,J,NA,6.095028538,18,0
6,596,M,28,H,np,6.493680616,18,0
6,597,M,23,H,np,6.488890939,18,0
6,599,M,17,H,np,6.39349667,18,0
6,600,M,12,S,NA,6.481779248,18,0
6,601,M,12,S,NA,6.382384268,18,0
6,602,M,12,S,NA,6.451829812,18,0
6,603,M,12,S,NA,6.42497588,18,0
6,604,M,5,J,NA,6.017527158,18,0
6,605,M,5,J,NA,6.040564871,18,0
6,606,M,5,J,NA,6.086056687,18,0
7,1495,F,52,H,np,6.649979844,10,0
7,1511,F,32,D,np,6.630399852,10,0
7,1515,F,27,H,np,6.540630764,10,0
7,1520,F,14,H,np,6.334517153,10,0
7,1559,M,40,D,np,6.4793884,10,0
7,1567,M,26,H,np,6.559828638,10,0
7,1570,M,19,H,np,6.410763088,10,0
7,1573,M,14,H,np,6.431459881,10,0
7,1574,M,15,H,np,6.410998602,10,0
7,162,M,17,H,np,6.379731179,10,0
7,1672,F,5,J,NA,6.184529192,10,0
7,1673,M,5,J,NA,6.256329017,10,0
7,1703,M,3,P,NA,5.841451359,10,0
7,1704,M,2,P,NA,5.593531336,10,0
7,1705,F,2,P,NA,5.521795581,10,0
7,1706,M,2,P,NA,5.506762228,10,0
8,100,M,5,J,NA,5.977994499,12,0
8,101,M,5,J,NA,6.075904311,12,0
8,102,M,2,P,NA,5.309002108,12,0
8,259,F,48,D,birth,6.518480806,12,0
8,39,F,13,H,np,6.463025735,12,0
8,40,F,13,H,np,6.441897669,12,0
8,41,F,13,H,np,6.504882121,12,0
8,43,F,11,S,NA,6.453596274,12,0
8,44,F,11,S,NA,6.31316582,12,0
8,45,F,11,S,NA,6.264917591,12,0
8,452,M,40,D,np,6.491374534,12,1
8,46,F,2,P,NA,5.526117346,12,0
8,47,F,2,P,NA,5.295374303,12,0
8,48,F,2,P,NA,5.576578406,12,0
8,94,M,24,H,np,6.556145303,12,0
8,95,M,22,H,np,6.424149105,12,0
8,97,M,13,H,np,6.425625315,12,0
8,98,M,11,S,NA,6.339735886,12,0
9,1737,M,29,D,np,6.706870553,11,0
9,1743,F,29,H,2,6.694208826,11,0
9,1835,M,24,H,np,6.637167175,11,0
9,1837,M,24,H,np,6.674810568,11,0
9,1838,F,24,H,np,6.493335148,11,0
9,1964,F,16,H,2,6.414232065,11,0
9,1965,F,16,H,2,6.478261268,11,0
9,1967,M,13,H,np,6.436687209,11,0
9,1968,F,13,H,np,6.321188821,11,0
9,1969,M,13,H,np,6.246251576,11,0
9,1973,M,5,J,NA,6.147577215,11,0
9,1975,M,5,J,NA,6.097762491,11,0
9,1976,M,5,J,NA,6.132201115,11,0
9,2351,F,2,P,NA,5.584835078,11,0
9,2352,M,2,P,NA,5.525481638,11,0
9,2354,F,2,P,NA,5.487153836,11,0
9,943,F,73,D,2,6.792535154,11,0
10,1510,F,65,D,2,6.601863025,16,0
10,1807,M,26,H,np,6.632829385,16,0
10,1808,M,26,H,np,6.544160382,16,0
10,1851,M,23,H,np,6.516632021,16,0
10,1852,M,23,H,np,6.566191227,16,0
10,2131,M,33,H,np,6.536440584,16,0
10,2132,F,29,H,np,6.618578877,16,0
10,2137,M,21,H,np,6.539506464,16,0
10,2139,M,14,H,np,6.449317026,16,0
10,2140,M,14,H,np,6.273822326,16,0
10,2141,M,14,H,np,6.264312462,16,0
10,2142,F,11,S,NA,6.258542532,16,0
10,2143,M,11,S,NA,6.321602106,16,0
10,2144,F,11,S,NA,6.25970108,16,0
10,2145,M,11,S,NA,6.340465945,16,0
10,2150,F,4,J,NA,5.961485999,16,0
10,2151,F,4,J,NA,5.994099866,16,0
10,2152,M,4,J,NA,5.792855521,16,0
10,2359,M,1,P,NA,4.447406112,16,0
10,2360,F,1,P,NA,4.485910199,16,0
10,2361,M,1,P,NA,4.516471965,16,0
10,2365,M,1,P,NA,4.345840905,16,0
10,2366,M,1,P,NA,4.36005873,16,0
10,2367,M,1,P,NA,4.538428635,16,0
